Car name,Length,Width,Height,Wheelbase,SUV,MUV,Sedan,Hatchback
Aura,3995,1680,1520,2450,0,0,1,0
Exter,3815,1710,1631,2450,1,0,0,0
Kona,4180,1800,1570,2600,1,0,0,0
Venue,3995,1770,1617,2500,1,0,0,0
I20nline,3995,1775,1505,2580,0,0,0,1
Tucson,4630,1865,1665,2755,1,0,0,0
Swift,3840,1735,1530,2450,0,0,0,1
Ertiga,4296,1695,1685,2740,0,1,0,0
Brezza,3995,1790,1640,2500,1,0,0,0
Dzire,3995,1735,1515,2450,0,0,1,0
Scross,4300,1785,1595,2600,1,0,0,0
Ciaz,4490,1730,1485,2650,0,0,1,0
Balenors,3995,1745,1510,2520,1,0,0,0
Ignis,3700,1690,1595,2435,0,0,0,1
Magnite,3994,1758,1572,2500,1,0,0,0
Kiger,3991,1750,1605,2500,1,0,0,0
Triber,3990,1739,1643,2636,0,1,0,0
Kwid,3731,1579,1474,2422,0,0,0,1
Elevate,4312,1790,1650,2650,1,0,0,0
Amaze,3995,1695,1500,2470,0,0,1,0
City,4578,1748,1489,2600,0,0,1,0
Invicto,4755,1847,1793,2850,0,1,0,0
